Title,Author,Genre,Reference Grade,Character,Use For Tone,Use For Accuracy,Use For Character Voice,Status,Notes
Tesla: Inventor of the Modern Age,Margaret Seifer,Biography,A+,Tesla,Yes,Yes,Yes,ACTIVE,Dense biography with personality documentation and obsession patterns. Primary source integration. Extract: obsessive language patterns and theoretical framing.
The Electrical Age: How Electricity Transformed America 1876-1914,Ernest Freeberg,History,A,Tesla,Yes,Yes,Yes,ACTIVE,Excellent era language and contextual detail. Wardenclyffe context. Use for 1890s vocabulary anchoring.
Tesla: Man Out of Time,Margaret Cheney,Biography,A,Tesla,Yes,Yes,Yes,ACTIVE,Personality focus. Letters and documented quirks. Strong for voice authenticity (OCD patterns 3-6-9 obsession).
My Inventions,Nikola Tesla,Primary Source,A+,Tesla,Yes,Yes,Yes,ACTIVE,AUTOBIOGRAPHICAL. Direct voice. Use extensively for character voice layer. Dated ~1919.
Leonardo da Vinci: A Life,Walter Isaacson,Biography,A+,da Vinci,Yes,Yes,Yes,ACTIVE,Comprehensive. Notebook extracts. Polymathic thinking patterns. Unfinished project obsession documented.
The Art of Leonardo da Vinci,Carlo Pedretti,Technical Reference,A,da Vinci,Yes,Yes,Yes,ACTIVE,Notebooks and sketches analyzed. Art-science fusion explicit. Use for polymathic curiosity framing.
The Mind of Leonardo,Carlo Pedretti,Art History,A,da Vinci,Yes,Yes,Yes,ACTIVE,Psychological profile. Perfectionism and abandonment cycles. Aesthetic obsession patterns.
Leonardo's Machines,Domenico Laurenza,Art/History,B+,da Vinci,Yes,Yes,No,ACTIVE,Engineering speculation. Some unverified claims about lost works. Use for tone but verify accuracy in Isaacson.
Lost Legends of the Electrical Age,Unknown Author,Pop-Science,D,Tesla,No,No,No,REJECTED,Sensationalist. Unverified UFO claims. Contradicts verified biography. FICTION TRACK ONLY (if needed for sci-fi character platform).
The Nikola Tesla Collection: Unwound Mysteries,Various,Pop-Science,D,Tesla,No,No,No,REJECTED,Conspiracy theory framing. Unreliable sourcing. Do not use for historical figures track.
[AWAITING GRADING],[AWAITING GRADING],[AWAITING GRADING],?,?,?,?,?,[STAGING],Add new books here as you read
